編號,義項,語句編號,語句,語句TL,語句POJ,音檔,語句翻譯,語句翻譯POJ
5683,7931,1,逐項攏欲計較，上尾食虧的是你家己。,"Ta̍k hāng lóng beh kè-kàu, siōng-bué tsia̍h-khui--ê sī lí ka-kī.","Ta̍k hāng lóng beh kè-kàu, siōng-bóe chia̍h-khui--ê sī lí ka-kī.",5683-1-1.mp3,每件事都要計較，最後吃虧的會是你自己。,
5686,7936,1,食薰對身體無好。,Tsia̍h-hun tuì sin-thé bô hó.,Chia̍h-hun tùi sin-thé bô hó.,5686-1-1.mp3,抽煙對身體不好。,
5688,7938,1,看伊行路的款，實在有夠風騷。,"Khuànn i kiânn-lōo ê khuán, si̍t-tsāi ū-kàu hong-so.","Khòaⁿ i kiâⁿ-lō͘ ê khoán, si̍t-chāi ū-kàu hong-so.",5688-1-1.mp3,看他那副走路的樣子，實在是輕佻到極點。,
5688,7939,1,囡仔人真愛風騷。,Gín-á-lâng tsin ài hong-so.,Gín-á-lâng chin ài hong-so.,5688-2-1.mp3,小孩子家這麼愛玩。,
5690,7941,1,修路,siu lōo,siu lō͘,5690-1-1.mp3,修路,
5690,7942,1,修行,siu-hīng,siu-hēng,5690-2-1.mp3,學道或是修習佛法,
5690,7943,1,修面,siu-bīn,siu-bīn,5690-3-1.mp3,修面,
5690,7943,2,修喙鬚,siu tshuì-tshiu,siu chhùi-chhiu,5690-3-2.mp3,剃鬍鬚,
5690,7943,3,修跤趼,siu kha-lan,siu kha-lan,5690-3-3.mp3,削平腳繭,
5691,7944,1,俺爸,án-pē,án-pē,5691-1-1.mp3,爸爸,
5691,7944,2,俺母,án-bú,án-bú,5691-1-2.mp3,媽媽,
5691,7944,3,俺公,án-kong,án-kong,5691-1-3.mp3,爺爺,
5691,7944,4,俺媽,án-má,án-má,5691-1-4.mp3,奶奶,
5691,7945,1,俺逐家攏著愛疼俺這塊土地。,Án ta̍k-ke lóng tio̍h-ài thiànn án tsit tè thóo-tē.,Án ta̍k-ke lóng tio̍h-ài thiàⁿ án chit tè thó͘-tē.,5691-2-1.mp3,我們大家都要愛我們的土地。,
5692,7946,1,米倉,bí-tshng,bí-chhng,5692-1-1.mp3,米庫,
5692,7946,2,粟倉,tshik-tshng,chhek-chhng,5692-1-2.mp3,穀倉,
5693,7947,1,一個月,tsi̍t kò gue̍h,chi̍t kò goe̍h,5693-1-1.mp3,一個月,
5694,7948,1,人客倌,lâng-kheh-kuann,lâng-kheh-koaⁿ,5694-1-1.mp3,對客人的敬稱,
5694,7949,1,來好倌,Lâi-hó kuann,Lâi-hó koaⁿ,5694-2-1.mp3,來好女仕,
5695,7950,1,加倍,ka-puē,ka-pōe,5695-1-1.mp3,加倍,
5697,7952,1,伊咧修行，無插俗事。,"I teh siu-hīng, bô tshap sio̍k-sū.","I teh siu-hēng, bô chhap sio̍k-sū.",5697-1-1.mp3,他在修佛學道，不過問世事。,
5697,7953,1,你就是攏無修行，性地才會遮爾仔䆀。,"Lí tō sī lóng bô siu-hīng, sìng-tē tsiah ē tsiah-nī-á bái.","Lí tō sī lóng bô siu-hēng, sèng-tē chiah ē chiah-nī-á bái.",5697-2-1.mp3,你就是都沒有修身養性，脾氣才會這麼差。,
5701,7957,1,時鐘修理好矣。,Sî-tsing siu-lí hó--ah.,Sî-cheng siu-lí hó--ah.,5701-1-1.mp3,時鐘修理好了。,
5701,7958,1,伊去予人修理。,i khì hōo lâng siu-lí.,i khì hō͘ lâng siu-lí.,5701-2-1.mp3,他被修理了。,
5702,7959,1,修補厝頂,siu-póo tshù-tíng,siu-pó͘ chhù-téng,5702-1-1.mp3,修補屋頂,
5704,7961,1,咱愛時常修養咱的心行，才袂做失德的代誌。,"Lán ài sî-siông siu-ióng lán ê sim-hīng, tsiah bē tsò sit-tik ê tāi-tsì.","Lán ài sî-siông siu-ióng lán ê sim-hēng, chiah bē chò sit-tek ê tāi-chì.",5704-1-1.mp3,我們要時常涵養品行，才不會做失德的事。,
5704,7962,1,伊的修養真好，攏袂佮人冤家。,"I ê siu-ióng tsin hó, lóng bē kah lâng uan-ke.","I ê siu-ióng chin hó, lóng bē kah lâng oan-ke.",5704-2-1.mp3,他的修養很好，都不會跟人家吵架。,
5705,7963,1,修整路面,siu-tsíng lōo-bīn,siu-chéng lō͘-bīn,5705-1-1.mp3,修整路面,
5706,7964,1,倒落去。,Tó--lo̍h-khì.,Tó--lo̍h-khì.,5706-1-1.mp3,倒下去。,
5706,7964,2,倒佇眠床頂。,Tó tī bîn-tshn̂g-tíng.,Tó tī bîn-chhn̂g-téng.,5706-1-2.mp3,倒在床上。,
5706,7965,1,彼間店早就倒矣。,Hit king tiàm tsá tō tó--ah.,Hit keng tiàm chá tō tó--ah.,5706-2-1.mp3,那家店早就倒了。,
5706,7965,2,伊的會仔予人倒去矣。,I ê huē-á hōo lâng tó--khì--ah.,I ê hōe-á hō͘ lâng tó--khì--ah.,5706-2-2.mp3,他跟會被倒掉了。,
5706,7966,1,菜擴豉猶未倒。,Tshài-khok sīnn iáu-buē tó.,Chhài-khok sīⁿ iáu-bōe tó.,5706-3-1.mp3,菜頭還沒醃入味。,
5707,7967,1,倒水,tò tsuí,tò chúi,5707-1-1.mp3,倒水,
5707,7967,2,倒糞埽,tò pùn-sò,tò pùn-sò,5707-1-2.mp3,倒垃圾,
5707,7968,1,倒爿,tò-pîng,tò-pêng,5707-2-1.mp3,左邊,
5707,7968,2,倒跤,tò-kha,tò-kha,5707-2-2.mp3,左腳,
5707,7969,1,倒去,tò--khì,tò--khì,5707-3-1.mp3,回去,
5707,7970,1,倒吊,tò-tiàu,tò-tiàu,5707-4-1.mp3,倒懸,
5707,7971,1,遐趕緊若做毋著倒害。,Hiah kuánn-kín nā tsò m̄-tio̍h tò hāi.,Hiah kóaⁿ-kín nā chò m̄-tio̍h tò hāi.,5707-5-1.mp3,這樣趕若做錯反而糟糕。,
5708,7972,1,你傷倖囡仔。,Lí siunn sīng gín-á.,Lí siuⁿ sēng gín-á.,5708-1-1.mp3,你太溺愛小孩。,
5708,7972,2,倖豬夯灶，倖囝不孝。,"Sīng ti giâ tsàu, sīng kiánn put-hàu.","Sēng ti giâ chàu, sēng kiáⁿ put-hàu.",5708-1-2.mp3,比喻子女要加以管教，不能放縱，否則會變成不孝。,
5709,7973,1,坐倚來。,Tsē uá--lâi.,Chē óa--lâi.,5709-1-1.mp3,坐過來一點。,
5709,7974,1,西瓜倚大爿。,Si-kue uá tuā-pîng.,Si-koe óa tōa-pêng.,5709-2-1.mp3,挑西瓜挑大的那一半。引申作人為了眼前的利益，甘願放棄原則，而採取附和的態度。,
5709,7975,1,倚樣做衫。,Uá iūnn tsò sann.,Óa iūⁿ chò saⁿ.,5709-3-1.mp3,仿照某個樣式做衣服。,
5710,7976,1,我借伊一本冊。,Guá tsioh i tsi̍t pún tsheh.,Góa chioh i chi̍t pún chheh.,5710-1-1.mp3,我借他一本書。,
5710,7976,2,我共伊借冊。,Guá kā i tsioh tsheh.,Góa kā i chioh chheh.,5710-1-2.mp3,我向他借書。,
5711,7977,1,加倩兩个人來鬥跤手。,Ke tshiànn nn̄g ê lâng lâi tàu-kha-tshiú.,Ke chhiàⁿ nn̄g ê lâng lâi tàu-kha-chhiú.,5711-1-1.mp3,多聘僱兩個人來幫忙。,
5711,7977,2,倩鬼拆藥單。,Tshiànn kuí thiah io̍h-tuann.,Chhiàⁿ kúi thiah io̍h-toaⁿ.,5711-1-2.mp3,請鬼抓藥。比喻「自尋死路」。,
5712,7978,1,你毋通笑伊倯，伊真有學問閣有修養。,"Lí m̄-thang tshiò i sông, i tsin ū ha̍k-būn koh ū siu-ióng.","Lí m̄-thang chhiò i sông, i chin ū ha̍k-būn koh ū siu-ióng.",5712-1-1.mp3,你不要笑他老土，他很有學問又有修養。,
5713,7979,1,開五百箍買一枝筆，敢有值？,"Khai gōo-pah khoo bé tsi̍t ki pit, kám ū ta̍t?","Khai gō͘-pah kho͘ bé chi̍t ki pit, kám ū ta̍t?",5713-1-1.mp3,花五百元買一枝筆，值得嗎？,
5713,7980,1,做甲欲死，毋值得人一句話。,"Tsò kah beh-sí, m̄ ta̍t-tit lâng tsi̍t kù uē.","Chò kah beh-sí, m̄ ta̍t-tit lâng chi̍t kù ōe.",5713-2-1.mp3,做得要死，還比不上人家一句話。,
5713,7981,1,這間厝值偌濟錢？,Tsit king tshù ta̍t guā-tsē tsînn?,Chit keng chhù ta̍t gōa-chē chîⁿ?,5713-3-1.mp3,這間房子價值多少？,
5713,7982,1,為著小可仔代誌來冤家，真毋值。,"Uī-tio̍h sió-khuá-á tāi-tsì lâi uan-ke, tsin m̄-ta̍t.","Ūi-tio̍h sió-khóa-á tāi-chì lâi oan-ke, chin m̄-ta̍t.",5713-4-1.mp3,為了一點小事吵架，很不值得。,
5714,7983,1,值班,ti̍t-pan,ti̍t-pan,5714-1-1.mp3,值班,
5715,7984,1,校長兼摃鐘。,Hāu-tiúnn kiam kòng-tsing.,Hāu-tiúⁿ kiam kòng-cheng.,5715-1-1.mp3,校長兼工友。比喻包辦所有事情。,
5715,7984,2,一兼二顧，摸蜊仔兼洗褲。,"It kiam jī kòo, bong lâ-á kiam sé khòo.","It kiam jī kò͘, bong lâ-á kiam sé khò͘.",5715-1-2.mp3,比喻二者兼顧。,
5716,7985,1,恁兩个莫閣冤矣啦！,Lín nn̄g ê mài koh uan--ah--lah!,Lín nn̄g ê mài koh oan--ah--lah!,5716-1-1.mp3,你們兩個別再吵了！,
5716,7986,1,申冤,sin-uan,sin-oan,5716-2-1.mp3,申訴冤情,
5717,7987,1,老師准我請假。,Lāu-su tsún guá tshíng-ká.,Lāu-su chún góa chhéng-ká.,5717-1-1.mp3,老師允許我請假。,
5718,7988,1,面凊凊,bīn tshìn-tshìn,bīn chhìn-chhìn,5718-1-1.mp3,表情冷淡,
5718,7988,2,凊汗,tshìn-kuānn,chhìn-kōaⁿ,5718-1-2.mp3,冷汗,
5718,7988,3,凊飯,tshìn-pn̄g,chhìn-pn̄g,5718-1-3.mp3,剩飯、冷飯,
5718,7989,1,凊凊彩彩,tshìn-tshìn-tshái-tshái,chhìn-chhìn-chhái-chhái,5718-2-1.mp3,隨隨便便,
5719,7990,1,肉湯堅凍,bah-thng kian-tàng,bah-thng kian-tàng,5719-1-1.mp3,肉湯結成了湯塊,
5719,7991,1,雞跤凍,ke-kha-tàng,ke-kha-tàng,5719-2-1.mp3,雞腳凍,
5719,7991,2,牛肉凍,gû-bah-tàng,gû-bah-tàng,5719-2-2.mp3,牛肉凍,
5719,7992,1,跤手真凍。,Kha-tshiú tsin tàng.,Kha-chhiú chin tàng.,5719-3-1.mp3,手腳真冰冷。,
5719,7993,1,凍舌,tàng-tsi̍h,tàng-chi̍h,5719-4-1.mp3,舌頭受到刺激而感覺麻麻的,
5719,7993,2,凍喙齒,tàng-tshuì-khí,tàng-chhùi-khí,5719-4-2.mp3,牙齒受凍,
5719,7994,1,凍露水,tàng-lōo-tsuí,tàng-lō͘-chúi,5719-5-1.mp3,花草夜晚沾露水,
5720,7995,1,冰凍,ping-tòng,peng-tòng,5720-1-1.mp3,結冰,
5720,7995,2,冷凍,líng-tòng,léng-tòng,5720-1-2.mp3,冷凍,
5721,7996,1,用齒戳剔喙齒。,Īng khí-thok thak tshuì-khí.,Ēng khí-thok thak chhùi-khí.,5721-1-1.mp3,用牙籤剔牙齒。,
5722,7997,1,剝筍仔殼,pak sún-á khak,pak sún-á khak,5722-1-1.mp3,剝竹筍殼,
5722,7998,1,共目鏡剝落來。,Kā ba̍k-kiànn pak--lo̍h-lâi.,Kā ba̍k-kiàⁿ pak--lo̍h-lâi.,5722-2-1.mp3,把眼鏡拿下來。,
5722,7999,1,我的錢予歹人剝去矣。,Guá ê tsînn hōo pháinn-lâng pak--khì--ah.,Góa ê chîⁿ hō͘ pháiⁿ-lâng pak--khì--ah.,5722-3-1.mp3,我的錢被歹徒搶個精光。,
5723,8000,1,我的冊借人矣。,Guá ê tsheh tsioh--lâng--ah.,Góa ê chheh chioh--lâng--ah.,5723-1-1.mp3,我的書借人了。,
5724,8001,1,結冤仇,kiat-uan-siû,kiat-oan-siû,5724-1-1.mp3,結怨、結仇,
5725,8002,1,你敢有冤仇人？,Lí kám ū uan-siû-lâng?,Lí kám ū oan-siû-lâng?,5725-1-1.mp3,你有仇人嗎？,
5726,8003,1,伊話共人講倒反。,I uē kā lâng kóng tò-píng.,I ōe kā lâng kóng tò-péng.,5726-1-1.mp3,他把話反著說。,
5727,8004,1,伊寫字、食飯攏用倒手。,"I siá-jī, tsia̍h-pn̄g lóng īng tò-tshiú.","I siá-jī, chia̍h-pn̄g lóng ēng tò-chhiú.",5727-1-1.mp3,他寫字、吃飯都用左手。,
5728,8005,1,我對你已經凊心矣。,Guá tuì lí í-king tshìn-sim--ah.,Góa tùi lí í-keng chhìn-sim--ah.,5728-1-1.mp3,我對你已經寒心失望了。,
5729,8006,1,你欲揣的彼間厝佇倒手爿。,Lí beh tshuē ê hit king tshù tī tò-tshiú-pîng.,Lí beh chhōe ê hit keng chhù tī tò-chhiú-pêng.,5729-1-1.mp3,你要找的那間房子在左手邊。,
5730,8007,1,你頭拄仔講的彼間店是佇路的倒爿抑是正爿？,Lí thâu-tú-á kóng ê hit king tiàm sī tī lōo ê tò-pîng ia̍h-sī tsiànn-pîng?,Lí thâu-tú-á kóng ê hit keng tiàm sī tī lō͘ ê tò-pêng ia̍h-sī chiàⁿ-pêng?,5730-1-1.mp3,你剛才說的那間店是在路的左邊還是右邊？,
5731,8008,1,你啥物時陣欲倒去？,Lí siánn-mih sî-tsūn beh tò--khì?,Lí siáⁿ-mih sî-chūn beh tò--khì?,5731-1-1.mp3,你什麼時候要回去？,
5732,8009,1,你的筆借用一下。,Lí ê pit tsioh-iōng--tsi̍t-ē.,Lí ê pit chioh-iōng--chi̍t-ē.,5732-1-1.mp3,你的筆借用一下。,
5733,8010,1,剝皮袋粗糠。,Pak-phuê tē tshoo-khng.,Pak-phôe tē chho͘-khng.,5733-1-1.mp3,把皮剝下來裝稻穀的外殼。形容對人慘烈報復，施以酷刑。,
5733,8011,1,今仔日熱甲強欲剝皮。,Kin-á-ji̍t jua̍h kah kiōng-beh pak-phuê.,Kin-á-ji̍t joa̍h kah kiōng-beh pak-phôe.,5733-2-1.mp3,今天熱到想剝皮。,
5734,8012,1,伊佇師大兼任教冊。,I tī Su-tāi kiam-jīm kà-tsheh.,I tī Su-tāi kiam-jīm kà-chheh.,5734-1-1.mp3,他在師大兼職教書。,
5735,8013,1,這个人倒吊無墨水。,Tsit ê lâng tò-tiàu bô ba̍k-tsuí.,Chit ê lâng tò-tiàu bô ba̍k-chúi.,5735-1-1.mp3,這個人倒吊起來也沒半滴墨水。比喻人沒學問，胸無點墨。,
5737,8016,1,倚年交通攏較亂。,Uá-nî kau-thong lóng khah luān.,Óa-nî kau-thong lóng khah loān.,5737-1-1.mp3,快過年的時候，交通都比較亂。,
5738,8017,1,你佗位無爽快，哪會咧流凊汗？,"Lí tó-uī bô sóng-khuài, ná ē teh lâu-tshìn-kuānn?","Lí tó-ūi bô sóng-khoài, ná ē teh lâu-chhìn-kōaⁿ?",5738-1-1.mp3,你哪裡不舒服，怎麼會冒冷汗？,
5741,8020,1,你心內有啥物冤屈，攏講出來無要緊。,"Lí sim-lāi ū siánn-mih uan-khut, lóng kóng--tshut-lâi bô iàu-kín.","Lí sim-lāi ū siáⁿ-mih oan-khut, lóng kóng--chhut-lâi bô iàu-kín.",5741-1-1.mp3,你心裡有什麼冤屈，都講出來沒關係。,
5742,8021,1,你毋通冤枉別人。,Lí m̄-thang uan-óng pa̍t-lâng.,Lí m̄-thang oan-óng pa̍t-lâng.,5742-1-1.mp3,你不要枉屈別人。,
5742,8022,1,這款冤枉錢你曷開會落去！,Tsit khuán uan-óng tsînn lí a̍h khai ē lo̍h--khì!,Chit khoán oan-óng chîⁿ lí a̍h khai ē lo̍h--khì!,5742-2-1.mp3,這種浪費錢你居然花得下去！,
5743,8023,1,你莫閣共伊凌治矣。,Lí mài koh kā i lîng-tī--ah.,Lí mài koh kā i lêng-tī--ah.,5743-1-1.mp3,你別再欺負他了。,
5744,8024,1,摒掃的工課予倩的去做就好矣！,Piànn-sàu ê khang-khuè hōo tshiànn--ê khì tsò tō hó--ah!,Piàⁿ-sàu ê khang-khòe hō͘ chhiàⁿ--ê khì chò tō hó--ah!,5744-1-1.mp3,打掃的工作交給員工做就好了！,
5745,8025,1,交貨的日子倚近，做袂赴矣！,"Kau-huè ê ji̍t-tsí uá-kīn, tsò bē-hù--ah!","Kau-hòe ê ji̍t-chí óa-kīn, chò bē-hù--ah!",5745-1-1.mp3,交貨的日子接近，做不完了！,
5746,8026,1,伊坐佇我的倒面。,I tsē tī guá ê tò-bīn.,I chē tī góa ê tò-bīn.,5746-1-1.mp3,他坐在我左邊。,
5746,8027,1,掀過來，倒面嘛會使寫。,"Hian--kuè-lâi, tò-bīn mā ē-sái siá.","Hian--kòe-lâi, tò-bīn mā ē-sái siá.",5746-2-1.mp3,翻過來，背面也可以寫。,
5747,8028,1,這兩个若見面就冤家。,Tsit nn̄g ê nā kìnn-bīn tō uan-ke.,Chit nn̄g ê nā kìⁿ-bīn tō oan-ke.,5747-1-1.mp3,這兩個人一見面就爭吵。,
5747,8029,1,想袂到𪜶兩个會冤家變親家。,Siūnn-bē-kàu in nn̄g ê ē uan-ke piàn tshin-ke.,Siūⁿ-bē-kàu in nn̄g ê ē oan-ke piàn chhin-ke.,5747-2-1.mp3,想不到他們兩個人會冤家變親家。,
5748,8030,1,你做人大兄閣一日到暗佮小弟冤家量債，敢袂歹勢？,"Lí tsò lâng tuā-hiann koh tsi̍t-ji̍t-kàu-àm kah sió-tī uan-ke-niû-tsè, kám bē pháinn-sè?","Lí chò lâng tōa-hiaⁿ koh chi̍t-ji̍t-kàu-àm kah sió-tī oan-ke-niû-chè, kám bē pháiⁿ-sè?",5748-1-1.mp3,你做人家大哥還一天到晚跟弟弟爭吵，難道不害臊嗎？,
5751,8033,1,閣較倒退淡薄仔。,Koh-khah tò-thè--tām-po̍h-á.,Koh-khah tò-thè--tām-po̍h-á.,5751-1-1.mp3,再後退一點。,
5752,8034,1,借問一下，文化路佇佗位？,"Tsioh-mn̄g--tsi̍t-ē, Bûn-huà-lōo tī tó-uī?","Chioh-mn̄g--chi̍t-ē, Bûn-hòa-lō͘ tī tó-ūi?",5752-1-1.mp3,請問一下，文化路在哪？,
5754,8036,1,伊敢值得你按呢對待？,I kám ta̍t-tit lí án-ne tuì-thāi?,I kám ta̍t-tit lí án-ne tùi-thāi?,5754-1-1.mp3,他值得你這樣對待嗎？,
5755,8037,1,我是凊彩講的，你毋通囥佇心肝內。,"Guá sī tshìn-tshái kóng--ê, lí m̄-thang khǹg tī sim-kuann-lāi.","Góa sī chhìn-chhái kóng--ê, lí m̄-thang khǹg tī sim-koaⁿ-lāi.",5755-1-1.mp3,我是隨便說說的，你不要放在心裡。,
5755,8038,1,凊彩人攏會曉。,Tshìn-tshái lâng lóng ē-hiáu.,Chhìn-chhái lâng lóng ē-hiáu.,5755-2-1.mp3,任何人都會。,
5755,8039,1,伊的人真凊彩。,I ê lâng tsin tshìn-tshái.,I ê lâng chin chhìn-chhái.,5755-3-1.mp3,他為人很隨便。,
5755,8039,2,你毋通遐凊彩。,Lí m̄-thang hiah tshìn-tshái.,Lí m̄-thang hiah chhìn-chhái.,5755-3-2.mp3,你不要這麼隨意。,
5756,8040,1,倚晝的時陣我就會轉來。,Uá-tàu ê sî-tsūn guá tō ē tńg--lâi.,Óa-tàu ê sî-chūn góa tō ē tńg--lâi.,5756-1-1.mp3,接近中午的時候我就會回來。,
5757,8041,1,做人愛重倫理。,Tsò-lâng ài tiōng lûn-lí.,Chò-lâng ài tiōng lûn-lí.,5757-1-1.mp3,做人要注重倫理。,
5759,8044,1,這个價數我就倒貼矣，哪會用得！,"Tsit ê kè-siàu guá tō tò-thiap--ah, ná ē-īng--tit!","Chit ê kè-siàu góa tō tò-thiap--ah, ná ē-ēng--tit!",5759-1-1.mp3,這個價錢我就倒貼虧本了，這怎麼行！,
5760,8045,1,你去提凊飯來炒。,Lí khì the̍h tshìn-pn̄g lâi tshá.,Lí khì the̍h chhìn-pn̄g lâi chhá.,5760-1-1.mp3,你去拿冷飯來炒飯。,
5761,8046,1,朋友愛互相鼓勵，講話毋通倒剾。,"Pîng-iú ài hōo-siong kóo-lē, kóng-uē m̄-thang tò-khau.","Pêng-iú ài hō͘-siong kó͘-lē, kóng-ōe m̄-thang tò-khau.",5761-1-1.mp3,朋友要互相鼓勵，不要暗中嘲諷。,
5762,8047,1,伊共人倒會仔。,I kā lâng tó-huē-á.,I kā lâng tó-hōe-á.,5762-1-1.mp3,他倒人家的會。,
5764,8050,1,借過一下！,Tsioh-kuè--tsi̍t-ē!,Chioh-kòe--chi̍t-ē!,5764-1-1.mp3,借過一下！,
5765,8051,1,好禮仔坐，無，會倒摔向。,"Hó-lé-á tsē, bô, ē tò-siàng-hiànn.","Hó-lé-á chē, bô, ē tò-siàng-hiàⁿ.",5765-1-1.mp3,小心坐好，不然，會摔個倒栽蔥。,
5767,8053,1,看著彼个笑面虎我就倒彈。,Khuànn-tio̍h hit ê tshiò-bīn-hóo guá tō tò-tuānn.,Khòaⁿ-tio̍h hit ê chhiò-bīn-hó͘ góa tō tò-tōaⁿ.,5767-1-1.mp3,看到那個笑面虎我就噁心。,
5767,8054,1,球擲落塗跤會倒彈起來。,Kiû tàn-lo̍h thôo-kha ē tò-tuānn--khí-lâi.,Kiû tàn-lo̍h thô͘-kha ē tò-tōaⁿ--khí-lâi.,5767-2-1.mp3,球丟到地上會反彈起來。,
5768,8055,1,伊共我倒數。,I kā guá tó-siàu.,I kā góa tó-siàu.,5768-1-1.mp3,他欠我錢不還。,
5769,8057,1,倒踏蹬,tò-ta̍h tenn,tò-ta̍h teⁿ,5769-1-1.mp3,腳沒穿進鞋裡，踏著鞋後緣,
5769,8057,2,倒踏蓮花,tò-ta̍h liân-hue,tò-ta̍h liân-hoe,5769-1-2.mp3,難產之一種，指胎兒雙腳先生出來,
5769,8058,1,有的跤踏車倒踏就會停。,Ū ê kha-ta̍h-tshia tò-ta̍h tō ē thîng.,Ū ê kha-ta̍h-chhia tò-ta̍h tō ē thêng.,5769-2-1.mp3,有的腳踏車倒著踩會停止轉動。,
5770,8059,1,自𪜶爸母死了後，伊就去倚靠𪜶兄嫂。,"Tsū in pē-bú sí liáu-āu, i tō khì uá-khò in hiann-só.","Chū in pē-bú sí liáu-āu, i tō khì óa-khò in hiaⁿ-só.",5770-1-1.mp3,自從他父母死後，他就去投靠他的兄嫂。,
5771,8060,1,彼堵壁的油漆猶未焦，你毋通去倚壁。,"Hit tóo piah ê iû-tshat iáu-buē ta, lí m̄-thang khì uá-piah.","Hit tó͘ piah ê iû-chhat iáu-bōe ta, lí m̄-thang khì óa-piah.",5771-1-1.mp3,牆上的油漆還沒乾，你不要靠著牆壁。,
5774,8063,1,博士候選人,phok-sū hāu-suán-jîn,phok-sū hāu-soán-jîn,5774-1-1.mp3,博士候選人,
5775,8064,1,借錢若毋還，後擺無人欲借你。,"Tsioh tsînn nā m̄ hîng, āu-pái bô lâng beh tsioh--lí.","Chioh chîⁿ nā m̄ hêng, āu-pái bô lâng beh chioh--lí.",5775-1-1.mp3,借錢如果不還，以後沒人要借你。,
5776,8065,1,這塊玉仔真值錢。,Tsit tè gi̍k-á tsin ta̍t-tsînn.,Chit tè ge̍k-á chin ta̍t-chîⁿ.,5776-1-1.mp3,這塊玉很值錢。,
5777,8066,1,你筆攑倒頭矣。,Lí pit gia̍h tò-thâu--ah.,Lí pit gia̍h tò-thâu--ah.,5777-1-1.mp3,你筆拿顛倒了。,
5777,8067,1,倒頭栽,tò-thâu-tsai,tò-thâu-chai,5777-2-1.mp3,倒栽蔥,
5777,8067,2,倒頭講,tò-thâu kóng,tò-thâu kóng,5777-2-2.mp3,說反話,
5778,8068,1,你倒頭行了後，對正手爿彼條路出去，就到位矣。,"Lí tò-thâu-kiânn liáu-āu, tuì tsiànn-tshiú-pîng hit tiâu lōo tshut--khì, tō kàu-uī--ah.","Lí tò-thâu-kiâⁿ liáu-āu, tùi chiàⁿ-chhiú-pêng hit tiâu lō͘ chhut--khì, tō kàu-ūi--ah.",5778-1-1.mp3,你往反方向走之後，從右手邊那條路出去，就到了。,
5779,8069,1,伊摔一下倒頭栽。,I siak tsi̍t-ē tò-thâu-tsai.,I siak chi̍t-ē tò-thâu-chai.,5779-1-1.mp3,他跌個四腳朝天。,
5781,8071,1,你真正有夠凍霜，連五箍銀都欲佮人計較。,"Lí tsin-tsiànn ū-kàu tàng-sng, liân gōo khoo gîn to beh kah lâng kè-kàu.","Lí chin-chiàⁿ ū-kàu tàng-sng, liân gō͘ kho͘ gîn to beh kah lâng kè-kàu.",5781-1-1.mp3,你真的很吝嗇，連五塊錢都要跟人家計較。,
5781,8072,1,天氣傷寒，一寡菜凍霜攏袂收成得。,"Thinn-khì siunn kuânn, tsi̍t-kuá tshài tàng-sng lóng bē-siu-sîng--tit.","Thiⁿ-khì siuⁿ kôaⁿ, chi̍t-kóa chhài tàng-sng lóng bē-siu-sêng--tit.",5781-2-1.mp3,天氣太冷了，一些菜都凍壞無法收成了。,
5783,8074,1,醫生欲檢查你的尻脊骿，請你倒覆。,"I-sing beh kiám-tsa lí ê kha-tsiah-phiann, tshiánn lí tò-phak.","I-seng beh kiám-cha lí ê kha-chiah-phiaⁿ, chhiáⁿ lí tò-phak.",5783-1-1.mp3,醫生要檢查你的背部，請你俯臥。,
5784,8075,1,伊已經倒轉去下港矣。,I í-king tò-tńg-khì ē-káng--ah.,I í-keng tò-tńg-khì ē-káng--ah.,5784-1-1.mp3,他已經返回南部了。,
5784,8076,1,話講倒轉來，伊講你嘛是為你好。,"Uē kóng tò-tńg--lâi, i kóng--lí mā sī uī lí hó.","Ōe kóng tò-tńg--lâi, i kóng--lí mā sī ūi lí hó.",5784-2-1.mp3,話說回來，他說你也是為了你好。,
5785,8077,1,伊下暗佇朋友遐借蹛。,I e-àm tī pîng-iú hia tsioh-tuà.,I e-àm tī pêng-iú hia chioh-tòa.,5785-1-1.mp3,他今晚在朋友那暫住。,
5786,8078,1,這盆花愛提出去凍露水。,Tsit phûn hue ài the̍h tshut-khì tàng-lōo-tsuí.,Chit phûn hoe ài the̍h chhut-khì tàng-lō͘-chúi.,5786-1-1.mp3,這盆花要拿出去接受露水滋潤。,
5786,8079,1,你下暗欲佮啥人去凍露水？,Lí e-àm beh kah siánn-lâng khì tàng-lōo-tsuí?,Lí e-àm beh kah siáⁿ-lâng khì tàng-lō͘-chúi?,5786-2-1.mp3,你今晚上要和誰去約會？,
5787,8080,1,伊厝內佮外口的工課無法度兼顧。,I tshù-lāi kah guā-kháu ê khang-khuè bô-huat-tōo kiam-kòo.,I chhù-lāi kah gōa-kháu ê khang-khòe bô-hoat-tō͘ kiam-kò͘.,5787-1-1.mp3,他家裡與外面的工作無法兼顧。,
5788,8081,1,物件予人勍去矣！,Mi̍h-kiānn hōo lâng khiang--khì--ah!,Mi̍h-kiāⁿ hō͘ lâng khiang--khì--ah!,5788-1-1.mp3,東西讓人偷拿走了！,
5789,8082,1,土匪,thóo-huí,thó͘-húi,5789-1-1.mp3,土匪,
5790,8083,1,起厝,khí-tshù,khí-chhù,5790-1-1.mp3,蓋房子,
5791,8084,1,一員大將,it uân tāi tsiòng,it oân tāi chiòng,5791-1-1.mp3,一位大將,
5791,8085,1,會員,huē-uân,hōe-oân,5791-2-1.mp3,會員,
5791,8085,2,職員,tsit-uân,chit-oân,5791-2-2.mp3,職員,
